
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.540]   Hey
[00:07:39.530 --> 00:07:40.190]   middle
[00:07:40.190 --> 00:07:40.310]   of
[00:07:40.310 --> 00:07:40.920]   nowhere
[00:07:40.920 --> 00:07:41.100]   in
[00:07:41.100 --> 00:07:41.380]   the
[00:07:41.380 --> 00:07:41.940]   middle
[00:07:41.940 --> 00:07:42.120]   of
[00:07:42.120 --> 00:07:42.490]   your
[00:07:42.490 --> 00:07:43.140]   mouth
[00:07:43.140 --> 00:07:43.140]   in
[00:07:43.140 --> 00:07:43.230]   a
[00:07:43.230 --> 00:07:43.700]   shape
[00:07:43.700 --> 00:07:44.080]  .
[00:07:44.080 --> 00:07:44.270]   And
[00:07:44.270 --> 00:07:44.400]   it
[00:07:44.400 --> 00:07:44.540]  's
[00:07:44.540 --> 00:07:44.760]   not
[00:07:44.760 --> 00:07:45.280]   really
[00:07:45.280 --> 00:07:45.690]   touching
[00:07:45.690 --> 00:07:46.230]   anything
[00:07:46.230 --> 00:07:46.480]  .
[00:07:46.480 --> 00:07:46.630]   It
[00:07:46.630 --> 00:07:46.760]  's
[00:07:46.760 --> 00:07:47.000]   not
[00:07:47.000 --> 00:07:47.450]   really
[00:07:47.450 --> 00:07:47.750]   vibr
[00:07:47.750 --> 00:07:48.130]  ating
[00:07:48.130 --> 00:07:48.740]   anywhere
[00:07:48.740 --> 00:07:49.000]  .
[00:07:49.000 --> 00:07:49.160]   It
[00:07:49.160 --> 00:07:49.320]  's
[00:07:49.320 --> 00:07:49.690]   just
[00:07:49.690 --> 00:07:49.980]   sort
[00:07:49.980 --> 00:07:50.200]   of
[00:07:50.200 --> 00:07:50.810]   standing
[00:07:50.810 --> 00:07:50.970]   up
[00:07:50.970 --> 00:07:51.640]   straight
[00:07:51.640 --> 00:07:51.800]   in
[00:07:51.800 --> 00:07:52.390]   inside
[00:07:52.390 --> 00:07:52.630]   your
[00:07:52.630 --> 00:07:53.050]   mouth
[00:07:53.050 --> 00:07:53.400]  .
[00:07:53.400 --> 00:07:53.410]  
[00:07:53.410 --> 00:07:53.660]   So
[00:07:53.660 --> 00:07:53.940]   it
[00:07:53.940 --> 00:07:54.480]   kind
[00:07:54.480 --> 00:07:54.780]   of
[00:07:54.780 --> 00:07:55.150]   has
[00:07:55.150 --> 00:07:55.410]  ,
[00:07:55.410 --> 00:07:55.670]   it
[00:07:55.670 --> 00:07:56.030]  's
[00:07:56.030 --> 00:07:56.790]   almost
[00:07:56.790 --> 00:07:57.290]   like
[00:07:57.290 --> 00:07:57.690]   you
[00:07:57.690 --> 00:07:58.180]  're
[00:07:58.180 --> 00:07:58.860]   sort
[00:07:58.860 --> 00:07:58.900]   of
[00:07:58.900 --> 00:07:59.710]   approx
[00:07:59.710 --> 00:08:00.650]  imating
[00:08:00.650 --> 00:08:00.910]   a
[00:08:00.910 --> 00:08:01.860]   position
[00:08:01.860 --> 00:08:02.320]  .
[00:08:02.320 --> 00:08:02.540]   So
[00:08:02.540 --> 00:08:03.010]   not
[00:08:03.010 --> 00:08:03.900]   everybody
[00:08:03.900 --> 00:08:04.120]  's
[00:08:04.120 --> 00:08:04.230]   R
[00:08:04.230 --> 00:08:05.140]   position
[00:08:05.140 --> 00:08:05.360]   is
[00:08:05.360 --> 00:08:06.180]   exactly
[00:08:06.180 --> 00:08:06.490]   the
[00:08:06.490 --> 00:08:06.940]   same
[00:08:06.940 --> 00:08:07.780]   because
[00:08:07.780 --> 00:08:07.950]   it
[00:08:07.950 --> 00:08:08.520]   doesn
[00:08:08.520 --> 00:08:08.750]  't
[00:08:08.750 --> 00:08:09.180]   have
[00:08:09.180 --> 00:08:09.300]   a
[00:08:09.300 --> 00:08:09.960]   fixed
[00:08:09.960 --> 00:08:10.350]   point
[00:08:10.350 --> 00:08:10.400]  ,
[00:08:10.400 --> 00:08:11.090]   right
[00:08:11.090 --> 00:08:11.400]  ?
[00:08:11.400 --> 00:08:11.560]   It
[00:08:11.560 --> 00:08:11.980]   doesn
[00:08:11.980 --> 00:08:12.130]  't
[00:08:12.130 --> 00:08:12.600]   have
[00:08:12.600 --> 00:08:13.120]   anything
[00:08:13.120 --> 00:08:13.450]   that
[00:08:13.450 --> 00:08:13.610]   it
[00:08:13.610 --> 00:08:13.990]  's
[00:08:13.990 --> 00:08:14.180]   going
[00:08:14.180 --> 00:08:14.340]   to
[00:08:14.340 --> 00:08:14.660]   like
[00:08:14.660 --> 00:08:15.000]   push
[00:08:15.000 --> 00:08:15.260]   up
[00:08:15.260 --> 00:08:15.730]   against
[00:08:15.730 --> 00:08:16.060]   like
[00:08:16.060 --> 00:08:16.180]   a
[00:08:16.180 --> 00:08:16.300]   ba
[00:08:16.300 --> 00:08:16.460]  ,
[00:08:16.460 --> 00:08:16.620]   ba
[00:08:16.620 --> 00:08:16.860]  ,
[00:08:16.860 --> 00:08:17.040]   ba
[00:08:17.040 --> 00:08:17.120]  ,
[00:08:17.120 --> 00:08:17.210]   or
[00:08:17.210 --> 00:08:17.610]   something
[00:08:17.610 --> 00:08:17.810]   like
[00:08:17.810 --> 00:08:17.980]   that
[00:08:17.980 --> 00:08:18.120]  .
[00:08:18.120 --> 00:08:18.370]   Like
[00:08:18.370 --> 00:08:18.430]   a
[00:08:18.430 --> 00:08:18.490]   B
[00:08:18.490 --> 00:08:18.610]  ,
[00:08:18.610 --> 00:08:18.920]   right
[00:08:18.920 --> 00:08:19.120]  ?
[00:08:19.120 --> 00:08:19.350]   Has
[00:08:19.350 --> 00:08:19.580]   the
[00:08:19.580 --> 00:08:19.800]   two
[00:08:19.800 --> 00:08:20.120]   lips
[00:08:20.120 --> 00:08:20.350]   are
[00:08:20.350 --> 00:08:20.690]   just
[00:08:20.690 --> 00:08:21.200]   hitting
[00:08:21.200 --> 00:08:21.350]   up
[00:08:21.350 --> 00:08:21.890]   against
[00:08:21.890 --> 00:08:22.200]   each
[00:08:22.200 --> 00:08:22.590]   other
[00:08:22.590 --> 00:08:22.880]  .
[00:08:22.880 --> 00:08:22.890]  
[00:08:22.890 --> 00:08:22.990]   It
[00:08:22.990 --> 00:08:23.100]  's
[00:08:23.100 --> 00:08:23.150]   a
[00:08:23.150 --> 00:08:23.570]   little
[00:08:23.570 --> 00:08:23.770]   trick
[00:08:23.770 --> 00:08:23.940]  ier
[00:08:23.940 --> 00:08:24.080]  ,
[00:08:24.080 --> 00:08:24.100]   I
[00:08:24.100 --> 00:08:24.450]   would
[00:08:24.450 --> 00:08:24.550]   say
[00:08:24.550 --> 00:08:24.660]  ,
[00:08:24.660 --> 00:08:24.770]   in
[00:08:24.770 --> 00:08:24.990]   that
[00:08:24.990 --> 00:08:25.470]   regard
[00:08:25.470 --> 00:08:25.560]  .
[00:08:25.560 --> 00:08:25.880]   Yeah
[00:08:25.880 --> 00:08:26.050]  ,
[00:08:26.050 --> 00:08:26.420]   that
[00:08:26.420 --> 00:08:26.540]  's
[00:08:26.540 --> 00:08:26.620]   a
[00:08:26.620 --> 00:08:27.130]   great
[00:08:27.130 --> 00:08:27.460]   point
[00:08:27.460 --> 00:08:27.760]  .
[00:08:27.760 --> 00:08:27.860]   I
[00:08:27.860 --> 00:08:28.440]   would
[00:08:28.440 --> 00:08:28.830]   also
[00:08:28.830 --> 00:08:29.150]   add
[00:08:29.150 --> 00:08:29.580]   that
[00:08:29.580 --> 00:08:29.680]   R
[00:08:29.680 --> 00:08:29.890]   is
[00:08:29.890 --> 00:08:30.390]   very
[00:08:30.390 --> 00:08:31.290]   difficult
[00:08:31.290 --> 00:08:31.620]   to
[00:08:31.620 --> 00:08:32.580]   physically
[00:08:32.580 --> 00:08:32.900]   see
[00:08:32.900 --> 00:08:33.220]  ,
[00:08:33.220 --> 00:08:33.540]   even
[00:08:33.540 --> 00:08:33.750]   if
[00:08:33.750 --> 00:08:34.070]   you
[00:08:34.070 --> 00:08:34.390]  're
[00:08:34.390 --> 00:08:35.270]   looking
[00:08:35.270 --> 00:08:35.520]   at
[00:08:35.520 --> 00:08:36.210]   someone
[00:08:36.210 --> 00:08:36.310]  's
[00:08:36.310 --> 00:08:36.750]   mouth
[00:08:36.750 --> 00:08:37.190]   while
[00:08:37.190 --> 00:08:37.540]   they
[00:08:37.540 --> 00:08:37.790]  're
[00:08:37.790 --> 00:08:38.420]   talking
[00:08:38.420 --> 00:08:38.720]  .
[00:08:38.720 --> 00:08:38.870]   It
[00:08:38.870 --> 00:08:39.020]  's
[00:08:39.020 --> 00:08:39.470]   really
[00:08:39.470 --> 00:08:39.770]   hard
[00:08:39.770 --> 00:08:39.920]   to
[00:08:39.920 --> 00:08:40.290]   see
[00:08:40.290 --> 00:08:40.510]   where
[00:08:40.510 --> 00:08:40.880]   their
[00:08:40.880 --> 00:08:41.350]   tongue
[00:08:41.350 --> 00:08:41.480]   is
[00:08:41.480 --> 00:08:42.000]   because
[00:08:42.000 --> 00:08:42.220]   the
[00:08:42.220 --> 00:08:42.590]   mouth
[00:08:42.590 --> 00:08:42.740]   is
[00:08:42.740 --> 00:08:43.040]   kind
[00:08:43.040 --> 00:08:43.190]   of
[00:08:43.190 --> 00:08:43.670]   closed
[00:08:43.670 --> 00:08:43.920]   and
[00:08:43.920 --> 00:08:44.080]   you
[00:08:44.080 --> 00:08:44.240]   can
[00:08:44.240 --> 00:08:44.340]  't
[00:08:44.340 --> 00:08:44.650]   really
[00:08:44.650 --> 00:08:44.810]   see
[00:08:44.810 --> 00:08:44.970]   the
[00:08:44.970 --> 00:08:45.230]   shape
[00:08:45.230 --> 00:08:45.330]   of
[00:08:45.330 --> 00:08:45.490]   the
[00:08:45.490 --> 00:08:45.800]   tongue
[00:08:45.800 --> 00:08:46.000]  .
[00:08:46.000 --> 00:08:46.500]   Yes
[00:08:46.500 --> 00:08:47.000]  .
[00:08:47.000 --> 00:08:47.010]  
[00:08:47.010 --> 00:08:47.170]   In
[00:08:47.170 --> 00:08:47.270]   a
[00:08:47.270 --> 00:08:47.910]   awkward
[00:08:47.910 --> 00:08:48.200]  ,
[00:08:48.200 --> 00:08:48.730]   strange
[00:08:48.730 --> 00:08:49.180]   shape
[00:08:49.180 --> 00:08:49.530]   too
[00:08:49.530 --> 00:08:49.630]  ,
[00:08:49.630 --> 00:08:49.810]   as
[00:08:49.810 --> 00:08:50.450]   opposed
[00:08:50.450 --> 00:08:50.630]   to
[00:08:50.630 --> 00:08:50.990]   some
[00:08:50.990 --> 00:08:51.440]   other
[00:08:51.440 --> 00:08:51.930]   sounds
[00:08:51.930 --> 00:08:52.460]   that
[00:08:52.460 --> 00:08:52.610]   are
[00:08:52.610 --> 00:08:53.150]   really
[00:08:53.150 --> 00:08:53.600]   easy
[00:08:53.600 --> 00:08:53.800]   to
[00:08:53.800 --> 00:08:54.120]   get
[00:08:54.120 --> 00:08:54.290]   a
[00:08:54.290 --> 00:08:54.840]   visual
[00:08:54.840 --> 00:08:55.170]   on
[00:08:55.170 --> 00:08:55.250]  ,
[00:08:55.250 --> 00:08:55.770]   right
[00:08:55.770 --> 00:08:56.120]  ?
[00:08:56.120 --> 00:08:56.810]   Right
[00:08:56.810 --> 00:08:57.120]  .
[00:08:57.120 --> 00:08:57.280]   So
[00:08:57.280 --> 00:08:57.640]   that
[00:08:57.640 --> 00:08:57.810]  's
[00:08:57.810 --> 00:08:58.400]   another
[00:08:58.400 --> 00:08:59.000]   element
[00:08:59.000 --> 00:08:59.340]   that
[00:08:59.340 --> 00:08:59.770]   makes
[00:08:59.770 --> 00:08:59.940]   it
[00:08:59.940 --> 00:09:00.720]   difficult
[00:09:00.720 --> 00:09:00.980]   is
[00:09:00.980 --> 00:09:01.150]   the
[00:09:01.150 --> 00:09:01.670]   visual
[00:09:01.670 --> 00:09:02.100]   aspect
[00:09:02.100 --> 00:09:02.580]   is
[00:09:02.580 --> 00:09:02.790]   taken
[00:09:02.790 --> 00:09:03.200]   away
[00:09:03.200 --> 00:09:03.690]   when
[00:09:03.690 --> 00:09:04.680]   learning
[00:09:04.680 --> 00:09:05.070]   how
[00:09:05.070 --> 00:09:05.370]   to
[00:09:05.370 --> 00:09:05.850]   make
[00:09:05.850 --> 00:09:06.110]   an
[00:09:06.110 --> 00:09:06.250]   R
[00:09:06.250 --> 00:09:06.640]  .
[00:09:06.640 --> 00:09:07.400]   Absolutely
[00:09:07.400 --> 00:09:07.640]  .
[00:09:07.640 --> 00:09:07.760]   It
[00:09:07.760 --> 00:09:07.880]  's
[00:09:07.880 --> 00:09:08.370]   actually
[00:09:08.370 --> 00:09:08.550]   one
[00:09:08.550 --> 00:09:08.670]   of
[00:09:08.670 --> 00:09:08.850]   the
[00:09:08.850 --> 00:09:09.210]   last
[00:09:09.210 --> 00:09:09.460]   sounds
[00:09:09.460 --> 00:09:09.700]   that
[00:09:09.700 --> 00:09:09.940]   kids
[00:09:09.940 --> 00:09:10.270]   learn
[00:09:10.270 --> 00:09:10.680]   because
[00:09:10.680 --> 00:09:10.800]   it
[00:09:10.800 --> 00:09:10.920]   is
[00:09:10.920 --> 00:09:11.200]  .
[00:09:11.200 --> 00:09:11.210]  
[00:09:11.210 --> 00:09:11.360]   It
[00:09:11.360 --> 00:09:11.520]  's
[00:09:11.520 --> 00:09:11.890]   hard
[00:09:11.890 --> 00:09:12.160]   when
[00:09:12.160 --> 00:09:12.480]   they
[00:09:12.480 --> 00:09:12.770]  're
[00:09:12.770 --> 00:09:13.370]   learning
[00:09:13.370 --> 00:09:13.830]   their
[00:09:13.830 --> 00:09:14.170]   first
[00:09:14.170 --> 00:09:14.820]   language
[00:09:14.820 --> 00:09:15.060]   as
[00:09:15.060 --> 00:09:15.550]   English
[00:09:15.550 --> 00:09:16.150]   because
[00:09:16.150 --> 00:09:16.280]   it
[00:09:16.280 --> 00:09:16.660]  's
[00:09:16.660 --> 00:09:16.760]   hard
[00:09:16.760 --> 00:09:16.920]   to
[00:09:16.920 --> 00:09:17.240]   see
[00:09:17.240 --> 00:09:17.400]  .
[00:09:17.400 --> 00:09:17.590]   So
[00:09:17.590 --> 00:09:17.890]   one
[00:09:17.890 --> 00:09:18.080]   of
[00:09:18.080 --> 00:09:18.440]   the
[00:09:18.440 --> 00:09:18.970]   things
[00:09:18.970 --> 00:09:19.320]   that
[00:09:19.320 --> 00:09:19.410]   I
[00:09:19.410 --> 00:09:19.990]   think
[00:09:19.990 --> 00:09:20.180]   can
[00:09:20.180 --> 00:09:20.370]   be
[00:09:20.370 --> 00:09:20.790]   very
[00:09:20.790 --> 00:09:21.420]   helpful
[00:09:21.420 --> 00:09:22.180]   because
[00:09:22.180 --> 00:09:22.470]   most
[00:09:22.470 --> 00:09:22.660]  ,
[00:09:22.660 --> 00:09:22.860]   I
[00:09:22.860 --> 00:09:22.940]  'm
[00:09:22.940 --> 00:09:23.320]   sure
[00:09:23.320 --> 00:09:23.610]   you
[00:09:23.610 --> 00:09:24.100]   guys
[00:09:24.100 --> 00:09:24.320]   out
[00:09:24.320 --> 00:09:25.010]   there
[00:09:25.010 --> 00:09:25.520]   have
[00:09:25.520 --> 00:09:26.310]   trouble
[00:09:26.310 --> 00:09:26.950]   perce
[00:09:26.950 --> 00:09:27.550]  iving
[00:09:27.550 --> 00:09:27.790]  ,
[00:09:27.790 --> 00:09:28.410]   perce
[00:09:28.410 --> 00:09:29.100]  iving
[00:09:29.100 --> 00:09:29.400]   the
[00:09:29.400 --> 00:09:29.780]   R
[00:09:29.780 --> 00:09:29.890]   and
[00:09:29.890 --> 00:09:30.010]   L
[00:09:30.010 --> 00:09:30.630]   sound
[00:09:30.630 --> 00:09:30.880]   in
[00:09:30.880 --> 00:09:32.500]   pronunciation
[00:09:32.500 --> 00:09:33.000]   that
[00:09:33.000 --> 00:09:33.440]   you
[00:09:33.440 --> 00:09:33.880]   hear
[00:09:33.880 --> 00:09:34.130]  ,
[00:09:34.130 --> 00:09:34.330]   it
[00:09:34.330 --> 00:09:34.670]   can
[00:09:34.670 --> 00:09:35.010]   be
[00:09:35.010 --> 00:09:35.340]   hard
[00:09:35.340 --> 00:09:35.560]   to
[00:09:35.560 --> 00:09:36.830]   distinguish
[00:09:36.830 --> 00:09:37.030]   it
[00:09:37.030 --> 00:09:37.480]   when
[00:09:37.480 --> 00:09:37.820]   you
[00:09:37.820 --> 00:09:38.270]   hear
[00:09:38.270 --> 00:09:39.060]   English
[00:09:39.060 --> 00:09:39.740]   spoken
[00:09:39.740 --> 00:09:40.160]  .
[00:09:40.160 --> 00:09:40.170]  
[00:09:40.170 --> 00:09:40.320]   You
[00:09:40.320 --> 00:09:40.620]   could
[00:09:40.620 --> 00:09:41.360]   probably
[00:09:41.360 --> 00:09:41.730]   distinguish
[00:09:41.730 --> 00:09:41.830]   it
[00:09:41.830 --> 00:09:42.060]   when
[00:09:42.060 --> 00:09:42.230]   you
[00:09:42.230 --> 00:09:42.400]  're
[00:09:42.400 --> 00:09:42.800]   reading
[00:09:42.800 --> 00:09:43.200]   because
[00:09:43.200 --> 00:09:43.430]   they
[00:09:43.430 --> 00:09:43.600]   are
[00:09:43.600 --> 00:09:44.020]   letters
[00:09:44.020 --> 00:09:44.230]   that
[00:09:44.230 --> 00:09:44.540]   look
[00:09:44.540 --> 00:09:45.290]   different
[00:09:45.290 --> 00:09:45.540]  .
[00:09:45.540 --> 00:09:45.820]   They
[00:09:45.820 --> 00:09:46.060]   don
[00:09:46.060 --> 00:09:46.220]  't
[00:09:46.220 --> 00:09:46.520]   look
[00:09:46.520 --> 00:09:46.740]   the
[00:09:46.740 --> 00:09:47.110]   same
[00:09:47.110 --> 00:09:47.250]   and
[00:09:47.250 --> 00:09:47.470]   you
[00:09:47.470 --> 00:09:47.690]  're
[00:09:47.690 --> 00:09:47.840]  ,
[00:09:47.840 --> 00:09:48.160]   you
[00:09:48.160 --> 00:09:48.360]   know
[00:09:48.360 --> 00:09:48.510]  ,
[00:09:48.510 --> 00:09:48.730]   you
[00:09:48.730 --> 00:09:48.950]  're
[00:09:48.950 --> 00:09:49.480]   reading
[00:09:49.480 --> 00:09:49.700]   the
[00:09:49.700 --> 00:09:50.080]   words
[00:09:50.080 --> 00:09:50.440]  .
[00:09:50.440 --> 00:09:50.680]   So
[00:09:50.680 --> 00:09:50.810]   I
[00:09:50.810 --> 00:09:51.130]  'm
[00:09:51.130 --> 00:09:51.680]   going
[00:09:51.680 --> 00:09:52.010]   to
[00:09:52.010 --> 00:09:52.430]   walk
[00:09:52.430 --> 00:09:53.060]   you
[00:09:53.060 --> 00:09:53.670]   through
[00:09:53.670 --> 00:09:54.040]   how
[00:09:54.040 --> 00:09:54.300]   to
[00:09:54.300 --> 00:09:54.790]   feel
[00:09:54.790 --> 00:09:55.220]   the
[00:09:55.220 --> 00:09:56.410]   difference
[00:09:56.410 --> 00:09:56.660]   in
[00:09:56.660 --> 00:09:57.160]   your
[00:09:57.160 --> 00:09:57.770]   vocal
[00:09:57.770 --> 00:09:58.490]   tract
[00:09:58.490 --> 00:09:58.840]  .
[00:09:58.840 --> 00:09:59.090]   And
[00:09:59.090 --> 00:09:59.600]   Andrew
[00:09:59.600 --> 00:09:59.770]  ,
[00:09:59.770 --> 00:09:59.850]   I
[00:09:59.850 --> 00:10:00.040]  'm
[00:10:00.040 --> 00:10:00.450]   going
[00:10:00.450 --> 00:10:00.620]   to
[00:10:00.620 --> 00:10:00.960]   make
[00:10:00.960 --> 00:10:01.040]   a
[00:10:01.040 --> 00:10:01.470]   video
[00:10:01.470 --> 00:10:01.640]   of
[00:10:01.640 --> 00:10:01.980]   this
[00:10:01.980 --> 00:10:02.230]   as
[00:10:02.230 --> 00:10:02.490]   well
[00:10:02.490 --> 00:10:02.700]   to
[00:10:02.700 --> 00:10:03.410]   accompany
[00:10:03.410 --> 00:10:03.790]   this
[00:10:03.790 --> 00:10:04.370]   episode
[00:10:04.370 --> 00:10:04.640]   so
[00:10:04.640 --> 00:10:04.840]   that
[00:10:04.840 --> 00:10:05.000]   you
[00:10:05.000 --> 00:10:05.010]  
[00:10:05.010 --> 00:10:05.340]   guys
[00:10:05.340 --> 00:10:05.700]   will
[00:10:05.700 --> 00:10:06.410]   actually
[00:10:06.410 --> 00:10:06.580]   be
[00:10:06.580 --> 00:10:06.930]   able
[00:10:06.930 --> 00:10:07.100]   to
[00:10:07.100 --> 00:10:07.590]   see
[00:10:07.590 --> 00:10:07.710]   what
[00:10:07.710 --> 00:10:07.800]   I
[00:10:07.800 --> 00:10:07.970]  'm
[00:10:07.970 --> 00:10:08.410]   doing
[00:10:08.410 --> 00:10:08.860]   with
[00:10:08.860 --> 00:10:08.930]   my
[00:10:08.930 --> 00:10:09.370]   mouth
[00:10:09.370 --> 00:10:09.540]  ,
[00:10:09.540 --> 00:10:09.800]   not
[00:10:09.800 --> 00:10:10.150]   just
[00:10:10.150 --> 00:10:10.500]   talk
[00:10:10.500 --> 00:10:10.670]   on
[00:10:10.670 --> 00:10:11.080]   the
[00:10:11.080 --> 00:10:11.780]   podcast
[00:10:11.780 --> 00:10:12.080]  .
[00:10:12.080 --> 00:10:12.640]   Okay
[00:10:12.640 --> 00:10:13.080]  .
[00:10:13.080 --> 00:10:13.250]   So
[00:10:13.250 --> 00:10:13.620]   guys
[00:10:13.620 --> 00:10:13.800]  ,
[00:10:13.800 --> 00:10:13.980]   if
[00:10:13.980 --> 00:10:14.280]   you
[00:10:14.280 --> 00:10:14.650]   want
[00:10:14.650 --> 00:10:14.790]   to
[00:10:14.790 --> 00:10:15.240]   check
[00:10:15.240 --> 00:10:15.710]   that
[00:10:15.710 --> 00:10:16.050]   video
[00:10:16.050 --> 00:10:16.320]   out
[00:10:16.320 --> 00:10:16.500]  ,
[00:10:16.500 --> 00:10:16.680]   we
[00:10:16.680 --> 00:10:16.940]  'll
[00:10:16.940 --> 00:10:17.310]   post
[00:10:17.310 --> 00:10:17.490]   it
[00:10:17.490 --> 00:10:17.860]   onto
[00:10:17.860 --> 00:10:18.230]   our
[00:10:18.230 --> 00:10:18.750]   YouTube
[00:10:18.750 --> 00:10:19.380]   account
[00:10:19.380 --> 00:10:19.680]  .
[00:10:19.680 --> 00:10:19.850]   So
[00:10:19.850 --> 00:10:20.220]   just
[00:10:20.220 --> 00:10:20.580]   head
[00:10:20.580 --> 00:10:20.760]   on
[00:10:20.760 --> 00:10:21.250]   over
[00:10:21.250 --> 00:10:21.300]   to
[00:10:21.300 --> 00:10:21.930]   YouTube
[00:10:21.930 --> 00:10:22.470]   search
[00:10:22.470 --> 00:10:22.740]   for
[00:10:22.740 --> 00:10:23.070]   the
[00:10:23.070 --> 00:10:23.540]   queue
[00:10:23.540 --> 00:10:23.820]   lips
[00:10:23.820 --> 00:10:24.460]   English
[00:10:24.460 --> 00:10:25.140]   podcast
[00:10:25.140 --> 00:10:25.440]  .
[00:10:25.440 --> 00:10:25.680]   You
[00:10:25.680 --> 00:10:25.960]  'll
[00:10:25.960 --> 00:10:26.120]   be
[00:10:26.120 --> 00:10:26.450]   able
[00:10:26.450 --> 00:10:26.640]   to
[00:10:26.640 --> 00:10:27.010]   find
[00:10:27.010 --> 00:10:27.210]   our
[00:10:27.210 --> 00:10:27.970]   channel
[00:10:27.970 --> 00:10:28.070]   and
[00:10:28.070 --> 00:10:28.470]   watch
[00:10:28.470 --> 00:10:28.830]   that
[00:10:28.830 --> 00:10:29.300]   video
[00:10:29.300 --> 00:10:29.520]  .
[00:10:29.520 --> 00:10:30.220]   Awesome
[00:10:30.220 --> 00:10:30.520]  .
[00:10:30.520 --> 00:10:31.210]   Yeah
[00:10:31.210 --> 00:10:31.680]  .
[00:10:31.680 --> 00:10:31.690]  
[00:10:31.690 --> 00:10:31.920]   So
[00:10:31.920 --> 00:10:32.050]   I
[00:10:32.050 --> 00:10:32.550]   find
[00:10:32.550 --> 00:10:33.060]   that
[00:10:33.060 --> 00:10:33.550]   when
[00:10:33.550 --> 00:10:33.930]   you
[00:10:33.930 --> 00:10:34.310]   can
[00:10:34.310 --> 00:10:34.810]   feel
[00:10:34.810 --> 00:10:35.190]   and
[00:10:35.190 --> 00:10:35.690]   know
[00:10:35.690 --> 00:10:36.190]   sort
[00:10:36.190 --> 00:10:36.460]   of
[00:10:36.460 --> 00:10:36.940]   like
[00:10:36.940 --> 00:10:37.140]   a
[00:10:37.140 --> 00:10:37.690]   dance
[00:10:37.690 --> 00:10:38.190]   step
[00:10:38.190 --> 00:10:38.440]  ,
[00:10:38.440 --> 00:10:38.940]   what
[00:10:38.940 --> 00:10:39.610]   kind
[00:10:39.610 --> 00:10:39.730]   of
[00:10:39.730 --> 00:10:40.960]   movements
[00:10:40.960 --> 00:10:41.220]   you
[00:10:41.220 --> 00:10:41.650]   need
[00:10:41.650 --> 00:10:41.820]   to
[00:10:41.820 --> 00:10:42.160]   make
[00:10:42.160 --> 00:10:42.530]   with
[00:10:42.530 --> 00:10:42.850]   your
[00:10:42.850 --> 00:10:43.470]   mouth
[00:10:43.470 --> 00:10:43.550]  ,
[00:10:43.550 --> 00:10:43.660]   it
[00:10:43.660 --> 00:10:43.930]   can
[00:10:43.930 --> 00:10:44.350]   help
[00:10:44.350 --> 00:10:44.560]   you
[00:10:44.560 --> 00:10:44.920]   know
[00:10:44.920 --> 00:10:45.100]  ,
[00:10:45.100 --> 00:10:45.460]   okay
[00:10:45.460 --> 00:10:45.740]  ,
[00:10:45.740 --> 00:10:46.000]   when
[00:10:46.000 --> 00:10:46.090]   I
[00:10:46.090 --> 00:10:46.450]   make
[00:10:46.450 --> 00:10:46.630]   an
[00:10:46.630 --> 00:10:46.720]   R
[00:10:46.720 --> 00:10:46.900]   or
[00:10:46.900 --> 00:10:47.390]   when
[00:10:47.390 --> 00:10:47.400]   I
[00:10:47.400 --> 00:10:47.720]   see
[00:10:47.720 --> 00:10:47.820]   R
[00:10:47.820 --> 00:10:48.080]  ,
[00:10:48.080 --> 00:10:48.460]   when
[00:10:48.460 --> 00:10:48.560]   I
[00:10:48.560 --> 00:10:48.780]  'm
[00:10:48.780 --> 00:10:49.530]   reading
[00:10:49.530 --> 00:10:49.990]   out
[00:10:49.990 --> 00:10:50.280]   loud
[00:10:50.280 --> 00:10:50.490]  ,
[00:10:50.490 --> 00:10:50.590]   I
[00:10:50.590 --> 00:10:51.020]   know
[00:10:51.020 --> 00:10:51.450]   that
[00:10:51.450 --> 00:10:51.660]   my
[00:10:51.660 --> 00:10:52.200]   mouth
[00:10:52.200 --> 00:10:52.630]   goes
[00:10:52.630 --> 00:10:52.860]   in
[00:10:52.860 --> 00:10:53.280]   this
[00:10:53.280 --> 00:10:53.700]   pose
[00:10:53.700 --> 00:10:54.160]  .
[00:10:54.160 --> 00:10:54.530]   And
[00:10:54.530 --> 00:10:55.020]   when
[00:10:55.020 --> 00:10:55.140]   I
[00:10:55.140 --> 00:10:55.540]   see
[00:10:55.540 --> 00:10:55.750]   an
[00:10:55.750 --> 00:10:55.870]   L
[00:10:55.870 --> 00:10:56.100]   in
[00:10:56.100 --> 00:10:56.350]   my
[00:10:56.350 --> 00:10:57.210]   reading
[00:10:57.210 --> 00:10:57.550]  ,
[00:10:57.550 --> 00:10:57.570]   I
[00:10:57.570 --> 00:10:58.060]   know
[00:10:58.060 --> 00:10:58.300]   my
[00:10:58.300 --> 00:10:58.940]   mouth
[00:10:58.940 --> 00:10:59.620]   goes
[00:10:59.620 --> 00:10:59.640]   in
[00:10:59.640 --> 00:11:00.130]   this
[00:11:00.130 --> 00:11:00.620]   pose
[00:11:00.620 --> 00:11:01.080]  .
[00:11:01.080 --> 00:11:01.090]  
[00:11:01.090 --> 00:11:01.480]   Just
[00:11:01.480 --> 00:11:01.760]   to
[00:11:01.760 --> 00:11:02.090]   help
