
[00:00:00.000 --> 00:00:00.050]  
[00:00:00.050 --> 00:00:00.280]   You
[00:03:54.680 --> 00:03:55.190]   you
[00:03:55.190 --> 00:03:55.670]   make
[00:03:55.670 --> 00:03:56.460]   book
[00:03:56.460 --> 00:03:58.000]   plural
[00:03:58.000 --> 00:03:58.740]   you
[00:03:58.740 --> 00:03:59.460]   add
[00:03:59.460 --> 00:03:59.570]   an
[00:03:59.570 --> 00:03:59.640]   "
[00:03:59.640 --> 00:03:59.790]  S
[00:03:59.790 --> 00:03:59.940]  "
[00:03:59.940 --> 00:04:00.390]   and
[00:04:00.390 --> 00:04:00.690]   it
[00:04:00.690 --> 00:04:01.600]   sounds
[00:04:01.600 --> 00:04:02.200]   like
[00:04:02.200 --> 00:04:02.360]   "
[00:04:02.360 --> 00:04:02.510]  S
[00:04:02.510 --> 00:04:02.720]  "
[00:04:02.720 --> 00:04:03.260]   books
[00:04:03.260 --> 00:04:03.580]  .
[00:04:03.580 --> 00:04:04.010]   When
[00:04:04.010 --> 00:04:04.330]   you
[00:04:04.330 --> 00:04:04.870]   make
[00:04:04.870 --> 00:04:05.620]   vacation
[00:04:05.620 --> 00:04:06.460]   plural
[00:04:06.460 --> 00:04:07.620]   it
[00:04:07.620 --> 00:04:08.610]   looks
[00:04:08.610 --> 00:04:08.900]   like
[00:04:08.900 --> 00:04:08.950]  
[00:04:08.950 --> 00:04:09.170]   an
[00:04:09.170 --> 00:04:09.300]   "
[00:04:09.300 --> 00:04:09.560]  S
[00:04:09.560 --> 00:04:09.730]  "
[00:04:09.730 --> 00:04:09.830]   in
[00:04:09.830 --> 00:04:10.240]   the
[00:04:10.240 --> 00:04:11.240]   written
[00:04:11.240 --> 00:04:11.750]   word
[00:04:11.750 --> 00:04:12.190]   but
[00:04:12.190 --> 00:04:12.430]   it
[00:04:12.430 --> 00:04:13.340]   sounds
[00:04:13.340 --> 00:04:13.810]   like
[00:04:13.810 --> 00:04:13.940]   a
[00:04:13.940 --> 00:04:14.070]   "
[00:04:14.070 --> 00:04:14.200]  Z
[00:04:14.200 --> 00:04:14.330]  "
[00:04:14.330 --> 00:04:14.600]   or
[00:04:14.600 --> 00:04:14.730]   a
[00:04:14.730 --> 00:04:14.990]   "
[00:04:14.990 --> 00:04:15.030]  Z
[00:04:15.030 --> 00:04:15.120]  "
[00:04:15.120 --> 00:04:16.440]   vacations
[00:04:16.440 --> 00:04:16.770]   and
[00:04:16.770 --> 00:04:17.610]   when
[00:04:17.610 --> 00:04:17.660]   you
[00:04:17.660 --> 00:04:17.900]   make
[00:04:17.900 --> 00:04:19.300]   box
[00:04:19.300 --> 00:04:20.280]   plural
[00:04:20.280 --> 00:04:20.770]   you
[00:04:20.770 --> 00:04:21.260]  'll
[00:04:21.260 --> 00:04:21.750]   see
[00:04:21.750 --> 00:04:22.590]   there
[00:04:22.590 --> 00:04:22.890]   is
[00:04:22.890 --> 00:04:23.240]   an
[00:04:23.240 --> 00:04:23.690]   "
[00:04:23.690 --> 00:04:23.740]  ES
[00:04:23.740 --> 00:04:23.870]  "
[00:04:23.870 --> 00:04:24.670]   added
[00:04:24.670 --> 00:04:25.160]   but
[00:04:25.160 --> 00:04:25.480]   it
[00:04:25.480 --> 00:04:26.160]   will
[00:04:26.160 --> 00:04:27.020]   sound
[00:04:27.020 --> 00:04:27.600]   like
[00:04:27.600 --> 00:04:28.010]   an
[00:04:28.010 --> 00:04:28.150]   "
[00:04:28.150 --> 00:04:28.400]  Is
[00:04:28.400 --> 00:04:28.550]  "
[00:04:28.550 --> 00:04:29.560]   boxes
[00:04:29.560 --> 00:04:29.790]  .
[00:04:29.790 --> 00:04:30.220]   You
[00:04:30.220 --> 00:04:30.260]   know
[00:04:30.260 --> 00:04:30.390]   I
[00:04:30.390 --> 00:04:30.940]   speak
[00:04:30.940 --> 00:04:31.330]   with
[00:04:31.330 --> 00:04:31.720]   a
[00:04:31.720 --> 00:04:31.780]   lot
[00:04:31.780 --> 00:04:31.910]   of
[00:04:31.910 --> 00:04:32.200]   non
[00:04:32.200 --> 00:04:32.290]  -
[00:04:32.290 --> 00:04:32.880]  native
[00:04:32.880 --> 00:04:33.580]   English
[00:04:33.580 --> 00:04:34.360]   speakers
[00:04:34.360 --> 00:04:34.880]   every
[00:04:34.880 --> 00:04:35.360]   day
[00:04:35.360 --> 00:04:35.380]  .
[00:04:35.380 --> 00:04:35.400]   I
[00:04:35.400 --> 00:04:35.490]  'm
[00:04:35.490 --> 00:04:35.810]   working
[00:04:35.810 --> 00:04:36.020]   with
[00:04:36.020 --> 00:04:36.070]  
[00:04:36.070 --> 00:04:36.740]   people
[00:04:36.740 --> 00:04:36.860]   who
[00:04:36.860 --> 00:04:37.030]   use
[00:04:37.030 --> 00:04:37.610]   English
[00:04:37.610 --> 00:04:37.900]   as
[00:04:37.900 --> 00:04:38.230]   their
[00:04:38.230 --> 00:04:38.740]   second
[00:04:38.740 --> 00:04:39.430]   language
[00:04:39.430 --> 00:04:39.680]   and
[00:04:39.680 --> 00:04:39.850]   to
[00:04:39.850 --> 00:04:40.460]   be
[00:04:40.460 --> 00:04:40.790]   perfectly
[00:04:40.790 --> 00:04:41.380]   honest
[00:04:41.380 --> 00:04:42.210]   plural
[00:04:42.210 --> 00:04:42.570]  izing
[00:04:42.570 --> 00:04:43.110]   words
[00:04:43.110 --> 00:04:43.320]   is
[00:04:43.320 --> 00:04:44.290]   something
[00:04:44.290 --> 00:04:44.720]   that
[00:04:44.720 --> 00:04:44.930]   is
[00:04:44.930 --> 00:04:45.900]   difficult
[00:04:45.900 --> 00:04:46.220]   for
[00:04:46.220 --> 00:04:47.260]   everybody
[00:04:47.260 --> 00:04:48.040]   learning
[00:04:48.040 --> 00:04:48.420]   English
[00:04:48.420 --> 00:04:48.420]  .
[00:04:48.420 --> 00:04:48.510]   I
[00:04:48.510 --> 00:04:49.210]   hear
[00:04:49.210 --> 00:04:49.260]   many
[00:04:49.260 --> 00:04:49.560]   many
[00:04:49.560 --> 00:04:50.300]   mistakes
[00:04:50.300 --> 00:04:50.450]   so
[00:04:50.450 --> 00:04:50.540]   I
[00:04:50.540 --> 00:04:51.070]   think
[00:04:51.070 --> 00:04:51.240]   for
[00:04:51.240 --> 00:04:51.330]   a
[00:04:51.330 --> 00:04:51.710]   lot
[00:04:51.710 --> 00:04:51.770]   of
[00:04:51.770 --> 00:04:52.030]   you
[00:04:52.030 --> 00:04:52.860]   listeners
[00:04:52.860 --> 00:04:53.180]   out
[00:04:53.180 --> 00:04:53.400]   there
[00:04:53.400 --> 00:04:53.660]   this
[00:04:53.660 --> 00:04:54.290]   will
[00:04:54.290 --> 00:04:54.490]   be
[00:04:54.490 --> 00:04:54.920]   really
[00:04:54.920 --> 00:04:55.020]   a
[00:04:55.020 --> 00:04:55.750]   helpful
[00:04:55.750 --> 00:04:56.480]   episode
[00:04:56.480 --> 00:04:56.950]   but
[00:04:56.950 --> 00:04:57.520]   Suzanne
[00:04:57.520 --> 00:04:58.040]   how
[00:04:58.040 --> 00:04:58.100]   do
[00:04:58.100 --> 00:04:58.250]   we
[00:04:58.250 --> 00:04:58.670]   know
[00:04:58.670 --> 00:04:58.980]   how
[00:04:58.980 --> 00:04:59.190]   do
[00:04:59.190 --> 00:04:59.460]   we
[00:04:59.460 --> 00:04:59.740]   know
[00:04:59.740 --> 00:05:00.560]  
[00:05:00.560 --> 00:05:00.620]   which
[00:05:00.620 --> 00:05:01.680]   plural
[00:05:01.680 --> 00:05:02.740]   ending
[00:05:02.740 --> 00:05:03.090]   to
[00:05:03.090 --> 00:05:03.620]   use
[00:05:03.620 --> 00:05:04.180]  ?
[00:05:04.180 --> 00:05:04.850]   When
[00:05:04.850 --> 00:05:05.200]   to
[00:05:05.200 --> 00:05:05.840]   use
[00:05:05.840 --> 00:05:05.900]   "
[00:05:05.900 --> 00:05:06.070]  S
[00:05:06.070 --> 00:05:06.400]  "
[00:05:06.400 --> 00:05:06.610]   and
[00:05:06.610 --> 00:05:06.740]   when
[00:05:06.740 --> 00:05:06.870]   to
[00:05:06.870 --> 00:05:07.070]   use
[00:05:07.070 --> 00:05:07.280]   "
[00:05:07.280 --> 00:05:07.590]  Is
[00:05:07.590 --> 00:05:07.780]  "
[00:05:07.780 --> 00:05:08.460]   how
[00:05:08.460 --> 00:05:08.900]   do
[00:05:08.900 --> 00:05:09.060]   we
[00:05:09.060 --> 00:05:09.180]   know
[00:05:09.180 --> 00:05:09.380]   this
[00:05:09.380 --> 00:05:09.380]  ?
[00:05:09.380 --> 00:05:10.210]   Well
[00:05:10.210 --> 00:05:10.290]   there
[00:05:10.290 --> 00:05:10.590]   are
[00:05:10.590 --> 00:05:10.690]   a
[00:05:10.690 --> 00:05:11.000]   few
[00:05:11.000 --> 00:05:11.500]   rules
[00:05:11.500 --> 00:05:11.800]   but
[00:05:11.800 --> 00:05:12.310]   first
[00:05:12.310 --> 00:05:12.670]   let
[00:05:12.670 --> 00:05:12.900]  's
[00:05:12.900 --> 00:05:13.170]   listen
[00:05:13.170 --> 00:05:13.270]   to
[00:05:13.270 --> 00:05:13.820]   some
[00:05:13.820 --> 00:05:14.180]   examples
[00:05:14.180 --> 00:05:14.460]   and
[00:05:14.460 --> 00:05:15.100]   see
[00:05:15.100 --> 00:05:15.220]   if
[00:05:15.220 --> 00:05:15.420]   we
[00:05:15.420 --> 00:05:16.140]   can
[00:05:16.140 --> 00:05:16.260]   figure
[00:05:16.260 --> 00:05:16.420]   out
[00:05:16.420 --> 00:05:16.670]   the
[00:05:16.670 --> 00:05:17.090]   rules
[00:05:17.090 --> 00:05:17.430]   from
[00:05:17.430 --> 00:05:17.850]   those
[00:05:17.850 --> 00:05:18.520]   examples
[00:05:18.520 --> 00:05:18.820]  .
[00:05:18.820 --> 00:05:19.860]   Very
[00:05:19.860 --> 00:05:20.180]   good
[00:05:20.180 --> 00:05:20.860]   idea
[00:05:20.860 --> 00:05:21.060]  .
[00:05:21.060 --> 00:05:21.530]   Okay
[00:05:21.530 --> 00:05:21.550]   let
[00:05:21.550 --> 00:05:21.710]  's
[00:05:21.710 --> 00:05:21.860]   do
[00:05:21.860 --> 00:05:22.690]  
[00:05:22.690 --> 00:05:22.750]   that
[00:05:22.750 --> 00:05:23.420]   let
[00:05:23.420 --> 00:05:23.860]  's
[00:05:23.860 --> 00:05:25.200]   listen
[00:05:25.200 --> 00:05:25.640]   to
[00:05:25.640 --> 00:05:26.300]   an
[00:05:26.300 --> 00:05:27.640]   example
[00:05:27.640 --> 00:05:28.740]   right
[00:05:28.740 --> 00:05:29.580]   now
[00:05:29.580 --> 00:05:30.140]  .
[00:05:30.140 --> 00:05:30.360]   Dude
[00:05:30.360 --> 00:05:30.580]   the
[00:05:30.580 --> 00:05:30.780]   bees
[00:05:30.780 --> 00:05:31.010]   this
[00:05:31.010 --> 00:05:31.240]   year
[00:05:31.240 --> 00:05:31.460]   are
[00:05:31.460 --> 00:05:32.060]   really
[00:05:32.060 --> 00:05:33.020]   aggressive
[00:05:33.020 --> 00:05:33.310]  .
[00:05:33.310 --> 00:05:33.690]   Yeah
[00:05:33.690 --> 00:05:33.940]   my
[00:05:33.940 --> 00:05:34.460]   friend
[00:05:34.460 --> 00:05:34.700]   is
[00:05:34.700 --> 00:05:34.740]   a
[00:05:34.740 --> 00:05:35.030]   bee
[00:05:35.030 --> 00:05:35.610]  keeper
[00:05:35.610 --> 00:05:35.940]   and
[00:05:35.940 --> 00:05:37.060]   he
[00:05:37.060 --> 00:05:37.340]   says
[00:05:37.340 --> 00:05:37.660]   that
[00:05:37.660 --> 00:05:38.190]   every
[00:05:38.190 --> 00:05:38.510]   day
[00:05:38.510 --> 00:05:38.740]   he
[00:05:38.740 --> 00:05:39.260]   loses
[00:05:39.260 --> 00:05:39.540]   his
[00:05:39.540 --> 00:05:40.370]   cool
[00:05:40.370 --> 00:05:40.680]   because
[00:05:40.680 --> 00:05:41.300]   dozens
[00:05:41.300 --> 00:05:41.520]   of
[00:05:41.520 --> 00:05:41.920]   bees
[00:05:41.920 --> 00:05:42.230]   try
[00:05:42.230 --> 00:05:42.440]   to
[00:05:42.440 --> 00:05:43.060]   escape
[00:05:43.060 --> 00:05:43.370]   the
[00:05:43.370 --> 00:05:43.480]   h
[00:05:43.480 --> 00:05:43.980]  ives
[00:05:43.980 --> 00:05:44.260]  .
[00:05:44.260 --> 00:05:44.640]   Wow
[00:05:44.640 --> 00:05:45.150]   what
[00:05:45.150 --> 00:05:45.420]   an
[00:05:45.420 --> 00:05:45.940]   interesting
[00:05:45.940 --> 00:05:46.220]   job
[00:05:46.220 --> 00:05:46.700]   I
[00:05:46.700 --> 00:05:46.750]  
[00:05:46.750 --> 00:05:47.420]   guess
[00:05:47.420 --> 00:05:47.540]   he
[00:05:47.540 --> 00:05:48.020]   likes
[00:05:48.020 --> 00:05:48.350]   bee
[00:05:48.350 --> 00:05:48.900]   bites
[00:05:48.900 --> 00:05:49.350]  .
[00:05:49.350 --> 00:05:49.550]   Nah
[00:05:49.550 --> 00:05:49.770]   he
[00:05:49.770 --> 00:05:50.320]   works
[00:05:50.320 --> 00:05:51.140]   well
[00:05:51.140 --> 00:05:51.200]   with
[00:05:51.200 --> 00:05:51.640]   them
[00:05:51.640 --> 00:05:51.970]   and
[00:05:51.970 --> 00:05:52.540]   finds
[00:05:52.540 --> 00:05:53.220]   he
[00:05:53.220 --> 00:05:53.570]   doesn
[00:05:53.570 --> 00:05:53.700]  't
[00:05:53.700 --> 00:05:53.820]   get
[00:05:53.820 --> 00:05:54.650]   bitten
[00:05:54.650 --> 00:05:54.700]   very
[00:05:54.700 --> 00:05:55.140]   often
[00:05:55.140 --> 00:05:55.400]  .
[00:05:55.400 --> 00:05:55.480]   F
[00:05:55.480 --> 00:05:55.830]   ever
[00:05:55.830 --> 00:05:56.160]  .
[00:05:56.160 --> 00:05:56.500]   Well
[00:05:56.500 --> 00:05:56.590]   I
[00:05:56.590 --> 00:05:57.160]   couldn
[00:05:57.160 --> 00:05:57.350]  't
[00:05:57.350 --> 00:05:57.540]   do
[00:05:57.540 --> 00:05:57.760]   it
[00:05:57.760 --> 00:05:57.860]  .
[00:05:57.860 --> 00:05:58.260]   A
[00:05:58.260 --> 00:05:58.540]   job
[00:05:58.540 --> 00:05:58.790]   like
[00:05:58.790 --> 00:05:58.980]   that
[00:05:58.980 --> 00:05:59.420]   creeps
[00:05:59.420 --> 00:05:59.700]   me
[00:05:59.700 --> 00:05:59.950]   out
[00:05:59.950 --> 00:06:00.820]   takes
[00:06:00.820 --> 00:06:00.900]   a
[00:06:00.900 --> 00:06:01.160]   lot
[00:06:01.160 --> 00:06:01.650]   of
[00:06:01.650 --> 00:06:01.950]   courage
[00:06:01.950 --> 00:06:02.120]   to
[00:06:02.120 --> 00:06:02.560]   stick
[00:06:02.560 --> 00:06:02.910]   your
[00:06:02.910 --> 00:06:03.460]   hands
[00:06:03.460 --> 00:06:03.520]   in
[00:06:03.520 --> 00:06:03.600]   a
[00:06:03.600 --> 00:06:04.110]   hive
[00:06:04.110 --> 00:06:04.340]   full
[00:06:04.340 --> 00:06:04.470]   of
[00:06:04.470 --> 00:06:04.800]   bees
[00:06:04.800 --> 00:06:05.260]  .
[00:06:05.260 --> 00:06:05.570]   For
[00:06:05.570 --> 00:06:06.100]   sure
[00:06:06.100 --> 00:06:07.140]   he
[00:06:07.140 --> 00:06:07.420]   takes
[00:06:07.420 --> 00:06:08.080]   good
[00:06:08.080 --> 00:06:08.240]   care
[00:06:08.240 --> 00:06:08.260]   of
[00:06:08.260 --> 00:06:08.570]   them
[00:06:08.570 --> 00:06:08.820]   and
[00:06:08.820 --> 00:06:09.400]   watches
[00:06:09.400 --> 00:06:09.760]   each
[00:06:09.760 --> 00:06:10.220]   moment
[00:06:10.220 --> 00:06:10.710]   when
[00:06:10.710 --> 00:06:10.710]   he
[00:06:10.710 --> 00:06:10.870]  's
[00:06:10.870 --> 00:06:11.780]   dealing
[00:06:11.780 --> 00:06:11.860]   with
[00:06:11.860 --> 00:06:12.110]   them
[00:06:12.110 --> 00:06:12.420]  .
[00:06:12.420 --> 00:06:12.580]   I
[00:06:12.580 --> 00:06:13.520]   like
[00:06:13.520 --> 00:06:13.540]   to
[00:06:13.540 --> 00:06:13.590]  
[00:06:13.590 --> 00:06:14.230]   watch
[00:06:14.230 --> 00:06:14.370]   him
[00:06:14.370 --> 00:06:14.400]   in
[00:06:14.400 --> 00:06:14.920]   action
[00:06:14.920 --> 00:06:15.610]   sometime
[00:06:15.610 --> 00:06:15.880]  .
[00:06:15.880 --> 00:06:16.200]   Yeah
[00:06:16.200 --> 00:06:16.830]   sounds
[00:06:16.830 --> 00:06:17.100]   good
[00:06:17.100 --> 00:06:17.190]   I
[00:06:17.190 --> 00:06:17.480]  'll
[00:06:17.480 --> 00:06:17.980]   ask
[00:06:17.980 --> 00:06:18.030]   him
[00:06:18.030 --> 00:06:18.420]   when
[00:06:18.420 --> 00:06:18.510]   he
[00:06:18.510 --> 00:06:18.780]   works
[00:06:18.780 --> 00:06:19.180]   and
[00:06:19.180 --> 00:06:19.420]   we
[00:06:19.420 --> 00:06:19.780]  'll
[00:06:19.780 --> 00:06:20.950]   make
[00:06:20.950 --> 00:06:21.240]   a
[00:06:21.240 --> 00:06:22.420]   plan
[00:06:22.420 --> 00:06:22.860]  .
[00:06:22.860 --> 00:06:24.190]   Alright
[00:06:24.190 --> 00:06:24.220]   so
[00:06:24.220 --> 00:06:24.480]   we
[00:06:24.480 --> 00:06:25.070]   just
[00:06:25.070 --> 00:06:26.260]   listened
[00:06:26.260 --> 00:06:26.650]   to
[00:06:26.650 --> 00:06:26.900]   an
[00:06:26.900 --> 00:06:27.500]   example
[00:06:27.500 --> 00:06:28.140]   so
[00:06:28.140 --> 00:06:28.260]   I
[00:06:28.260 --> 00:06:28.490]   have
[00:06:28.490 --> 00:06:28.630]   to
[00:06:28.630 --> 00:06:28.780]   say
[00:06:28.780 --> 00:06:28.960]   you
[00:06:28.960 --> 00:06:29.220]   made
[00:06:29.220 --> 00:06:29.260]   a
[00:06:29.260 --> 00:06:30.090]   little
[00:06:30.090 --> 00:06:30.260]   bit
[00:06:30.260 --> 00:06:30.480]   of
[00:06:30.480 --> 00:06:30.590]   a
[00:06:30.590 --> 00:06:31.150]   weird
[00:06:31.150 --> 00:06:31.930]   example
[00:06:31.930 --> 00:06:32.260]   but
[00:06:32.260 --> 00:06:32.550]   it
[00:06:32.550 --> 00:06:32.700]  's
[00:06:32.700 --> 00:06:33.140]   good
[00:06:33.140 --> 00:06:33.920]   because
[00:06:33.920 --> 00:06:34.140]   it
[00:06:34.140 --> 00:06:34.810]   really
[00:06:34.810 --> 00:06:36.130]   illustrates
[00:06:36.130 --> 00:06:36.660]   this
[00:06:36.660 --> 00:06:37.490]  
[00:06:37.490 --> 00:06:38.260]   pronunciation
[00:06:38.260 --> 00:06:39.120]   feature
[00:06:39.120 --> 00:06:39.360]   of
[00:06:39.360 --> 00:06:39.730]   the
[00:06:39.730 --> 00:06:40.460]   plural
[00:06:40.460 --> 00:06:41.100]   and
[00:06:41.100 --> 00:06:41.200]   the
[00:06:41.200 --> 00:06:41.810]   third
[00:06:41.810 --> 00:06:41.930]  -
[00:06:41.930 --> 00:06:42.750]  person
[00:06:42.750 --> 00:06:42.790]   S
[00:06:42.790 --> 00:06:43.390]   sound
[00:06:43.390 --> 00:06:43.750]  .
[00:06:43.750 --> 00:06:44.200]   Now
[00:06:44.200 --> 00:06:44.580]   Sue
[00:06:44.580 --> 00:06:44.980]   like
[00:06:44.980 --> 00:06:45.680]   you
[00:06:45.680 --> 00:06:45.810]   told
[00:06:45.810 --> 00:06:45.880]   us
[00:06:45.880 --> 00:06:46.600]   earlier
[00:06:46.600 --> 00:06:47.090]   there
[00:06:47.090 --> 00:06:47.390]   are
[00:06:47.390 --> 00:06:47.890]   three
[00:06:47.890 --> 00:06:48.800]   different
[00:06:48.800 --> 00:06:49.400]   ways
[00:06:49.400 --> 00:06:49.420]   we
[00:06:49.420 --> 00:06:49.700]   can
[00:06:49.700 --> 00:06:50.610]   pronounce
[00:06:50.610 --> 00:06:50.980]   the
[00:06:50.980 --> 00:06:51.810]   plural
[00:06:51.810 --> 00:06:51.900]   S
[00:06:51.900 --> 00:06:52.550]   third
[00:06:52.550 --> 00:06:52.690]  -
[00:06:52.690 --> 00:06:53.480]  person
[00:06:53.480 --> 00:06:53.620]   S
[00:06:53.620 --> 00:06:54.000]  .
[00:06:54.000 --> 00:06:54.390]   The
[00:06:54.390 --> 00:06:55.410]   first
[00:06:55.410 --> 00:06:55.440]   way
[00:06:55.440 --> 00:06:55.740]   is
[00:06:55.740 --> 00:06:56.350]   just
[00:06:56.350 --> 00:06:56.640]   by
[00:06:56.640 --> 00:06:57.640]   adding
[00:06:57.640 --> 00:06:58.030]   the
[00:06:58.030 --> 00:06:58.180]   S
[00:06:58.180 --> 00:06:58.980]   sound
[00:06:58.980 --> 00:06:59.340]   right
[00:06:59.340 --> 00:07:00.180]   yes
[00:07:00.180 --> 00:07:00.660]   so
[00:07:00.660 --> 00:07:00.710]  
[00:07:00.710 --> 00:07:00.960]   why
[00:07:00.960 --> 00:07:01.460]   don
[00:07:01.460 --> 00:07:01.500]  't
[00:07:01.500 --> 00:07:01.660]   we
[00:07:01.660 --> 00:07:01.860]   go
[00:07:01.860 --> 00:07:02.560]   through
[00:07:02.560 --> 00:07:02.860]   the
[00:07:02.860 --> 00:07:03.560]   example
[00:07:03.560 --> 00:07:03.950]   and
[00:07:03.950 --> 00:07:04.260]   find
[00:07:04.260 --> 00:07:04.550]   all
[00:07:04.550 --> 00:07:05.100]   the
[00:07:05.100 --> 00:07:05.360]   times
[00:07:05.360 --> 00:07:05.560]   we
[00:07:05.560 --> 00:07:06.060]   heard
[00:07:06.060 --> 00:07:06.460]   that
[00:07:06.460 --> 00:07:06.790]   in
[00:07:06.790 --> 00:07:07.100]   the
[00:07:07.100 --> 00:07:07.900]   example
[00:07:07.900 --> 00:07:07.940]  .
[00:07:07.940 --> 00:07:08.380]   Sounds
[00:07:08.380 --> 00:07:08.700]   good
[00:07:08.700 --> 00:07:08.980]  .
[00:07:08.980 --> 00:07:09.260]   What
[00:07:09.260 --> 00:07:09.500]   did
[00:07:09.500 --> 00:07:09.740]   you
[00:07:09.740 --> 00:07:10.060]   hear
[00:07:10.060 --> 00:07:10.390]   Sue
[00:07:10.390 --> 00:07:10.620]  ?
[00:07:10.620 --> 00:07:11.500]   Maybe
[00:07:11.500 --> 00:07:11.540]   you
[00:07:11.540 --> 00:07:11.740]   can
[00:07:11.740 --> 00:07:12.100]   point
[00:07:12.100 --> 00:07:12.260]   them
[00:07:12.260 --> 00:07:12.380]   out
[00:07:12.380 --> 00:07:13.230]   to
[00:07:13.230 --> 00:07:13.740]   us
[00:07:13.740 --> 00:07:13.740]  .
[00:07:13.740 --> 00:07:14.570]   Sure
[00:07:14.570 --> 00:07:14.630]   wow
[00:07:14.630 --> 00:07:15.140]   what
[00:07:15.140 --> 00:07:15.400]   an
[00:07:15.400 --> 00:07:16.820]   interesting
[00:07:16.820 --> 00:07:17.200]   job
[00:07:17.200 --> 00:07:17.330]   I
[00:07:17.330 --> 00:07:18.180]   guess
[00:07:18.180 --> 00:07:18.280]   he
[00:07:18.280 --> 00:07:19.980]   likes
[00:07:19.980 --> 00:07:20.610]   bee
[00:07:20.610 --> 00:07:21.510]   bites
[00:07:21.510 --> 00:07:22.460]   right
[00:07:22.460 --> 00:07:23.180]   likes
[00:07:23.180 --> 00:07:24.000]   and
[00:07:24.000 --> 00:07:24.620]   be
[00:07:24.620 --> 00:07:24.670]  
[00:07:24.670 --> 00:07:25.450]   bites
[00:07:25.450 --> 00:07:25.460]  .
[00:07:25.460 --> 00:07:25.550]   I
[00:07:25.550 --> 00:07:26.070]   guess
[00:07:26.070 --> 00:07:26.280]   he
[00:07:26.280 --> 00:07:26.800]   likes
[00:07:26.800 --> 00:07:27.010]   be
[00:07:27.010 --> 00:07:27.530]   bites
[00:07:27.530 --> 00:07:27.940]   yeah
[00:07:27.940 --> 00:07:28.150]   so
[00:07:28.150 --> 00:07:28.880]   there
[00:07:28.880 --> 00:07:29.060]   we
[00:07:29.060 --> 00:07:29.400]   heard
[00:07:29.400 --> 00:07:29.610]   it
[00:07:29.610 --> 00:07:29.920]   two
[00:07:29.920 --> 00:07:30.500]   times
[00:07:30.500 --> 00:07:30.860]   right
[00:07:30.860 --> 00:07:31.820]   likes
[00:07:31.820 --> 00:07:32.650]   and
[00:07:32.650 --> 00:07:33.560]   bites
[00:07:33.560 --> 00:07:34.220]  .
[00:07:34.220 --> 00:07:35.110]   Next
[00:07:35.110 --> 00:07:35.340]   we
[00:07:35.340 --> 00:07:36.070]   see
[00:07:36.070 --> 00:07:36.260]   n
[00:07:36.260 --> 00:07:36.440]  ah
[00:07:36.440 --> 00:07:36.810]   he
[00:07:36.810 --> 00:07:37.950]   works
[00:07:37.950 --> 00:07:38.680]   works
[00:07:38.680 --> 00:07:39.540]   well
[00:07:39.540 --> 00:07:39.820]   with
[00:07:39.820 --> 00:07:40.060]   them
[00:07:40.060 --> 00:07:40.290]   and
[00:07:40.290 --> 00:07:40.740]   finds
[00:07:40.740 --> 00:07:41.020]   he
[00:07:41.020 --> 00:07:41.260]   doesn
[00:07:41.260 --> 00:07:41.390]  't
[00:07:41.390 --> 00:07:41.660]   get
[00:07:41.660 --> 00:07:42.500]   bitten
[00:07:42.500 --> 00:07:43.040]   very
[00:07:43.040 --> 00:07:43.730]   often
[00:07:43.730 --> 00:07:44.000]   if
[00:07:44.000 --> 00:07:44.560]   ever
[00:07:44.560 --> 00:07:44.970]  .
[00:07:44.970 --> 00:07:45.250]   So
[00:07:45.250 --> 00:07:46.100]   works
[00:07:46.100 --> 00:07:46.630]   works
[00:07:46.630 --> 00:07:46.910]   is
[00:07:46.910 --> 00:07:47.190]   an
[00:07:47.190 --> 00:07:47.320]   S
[00:07:47.320 --> 00:07:48.100]   sound
[00:07:48.100 --> 00:07:48.180]  .
[00:07:48.180 --> 00:07:48.760]   Okay
[00:07:48.760 --> 00:07:49.110]   he
[00:07:49.110 --> 00:07:49.380]   works
[00:07:49.380 --> 00:07:50.100]   with
[00:07:50.100 --> 00:07:51.140]   them
[00:07:51.140 --> 00:07:51.970]  
[00:07:51.970 --> 00:07:52.370]   perfect
[00:07:52.370 --> 00:07:53.250]   works
[00:07:53.250 --> 00:07:53.780]   and
[00:07:53.780 --> 00:07:54.470]   then
[00:07:54.470 --> 00:07:54.810]   in
[00:07:54.810 --> 00:07:55.580]   the
[00:07:55.580 --> 00:07:56.040]   next
[00:07:56.040 --> 00:07:56.740]   line
[00:07:56.740 --> 00:07:57.270]   we
[00:07:57.270 --> 00:07:57.800]   hear
[00:07:57.800 --> 00:07:58.020]   a
[00:07:58.020 --> 00:07:58.450]   job
[00:07:58.450 --> 00:07:58.860]   like
[00:07:58.860 --> 00:07:58.940]   that
[00:07:58.940 --> 00:07:59.890]   creeps
[00:07:59.890 --> 00:08:00.220]   me
[00:08:00.220 --> 00:08:00.880]   out
[00:08:00.880 --> 00:08:01.730]   creeps
[00:08:01.730 --> 00:08:02.590]   creeps
[00:08:02.590 --> 00:08:03.220]   okay
[00:08:03.220 --> 00:08:03.520]   we
[00:08:03.520 --> 00:08:03.850]   got
[00:08:03.850 --> 00:08:04.270]   the
[00:08:04.270 --> 00:08:04.410]   S
[00:08:04.410 --> 00:08:05.320]   there
[00:08:05.320 --> 00:08:05.690]   what
[00:08:05.690 --> 00:08:06.300]   else
[00:08:06.300 --> 00:08:07.010]   and
